name,rate,rnk,median_earn
Tulane University of Louisiana,0.8614,143.0,63268.0
Pennsylvania State University-Main Campus,0.8609,144.0,63435.0
University of California-San Diego,0.8605,145.0,84943.0
Brandeis University,0.8603,146.0,77231.0
CEM College-San Juan,0.859,147.0,21033.0
The College of New Jersey,0.8585,148.0,73323.0
Providence College,0.8582,149.0,87054.0
Daytona College,0.8571,150.0,26422.0
University of California-Davis,0.8567,151.0,80838.0
Florida State University,0.8561,152.0,61675.0
Texas Christian University,0.8551,153.0,68424.0
University of Pittsburgh-Pittsburgh Campus,0.855,154.0,66125.0
University of Rochester,0.8543,155.0,79042.0
University of Minnesota-Twin Cities,0.8528,156.0,69020.0
University of Richmond,0.852,157.0,76178.0
University of Washington-Seattle Campus,0.8518,158.0,78466.0
University of Illinois Urbana-Champaign,0.8513,159.0,81054.0
SUM Bible College and Theological Seminary,0.8481,160.0,35418.0
North Carolina State University at Raleigh,0.8476,161.0,68758.0
Wheaton College,0.8475,162.0,63756.0
University of Florida-Online,0.8468,163.0,71588.0
Rhodes College,0.8453,164.0,66651.0
Miami Regional University,0.8448,165.0,29081.0
Mount Holyoke College,0.8439,166.0,58418.0
Fairfield University,0.843,167.5,88794.0
Thomas Aquinas College,0.843,167.5,55619.0
Southern Methodist University,0.8427,169.0,78354.0
Wofford College,0.842,170.0,68964.0
Elon University,0.8404,171.0,74545.0
St Olaf College,0.84,172.0,65543.0
George Washington University,0.8398,173.0,90873.0
Trinity University,0.8397,174.0,71668.0
Texas A&M University-College Station,0.8391,175.0,72097.0
Franklin and Marshall College,0.8377,176.5,76124.0
Trinity College,0.8377,176.5,90779.0
University of Miami,0.8368,178.0,75328.0
University of San Diego,0.8367,179.0,86522.0
Rutgers University-New Brunswick,0.8363,180.0,74479.0
Rensselaer Polytechnic Institute,0.8362,181.0,102051.0
Syracuse University,0.8361,182.0,79164.0
Pitzer College,0.8339,183.0,69512.0
Creighton University,0.8336,184.0,73911.0
Pepperdine University,0.8335,185.0,82939.0
Sumner College,0.8333,186.5,46639.0
Montessori Education Center of the Rockies,0.8333,186.5,44643.0
University of Connecticut,0.8329,188.0,73997.0
University of Massachusetts-Amherst,0.8326,189.0,71631.0
Marquette University,0.8321,190.0,78257.0
Yeshiva University,0.832,191.0,71353.0
Grove City College,0.8317,192.0,
Purdue University-Main Campus,0.831,193.0,72424.0
University of California-Santa Barbara,0.8303,194.0,74915.0
Emmaus Bible College,0.8298,195.0,42631.0
Rabbinical College Bobover Yeshiva Bnei Zion,0.8286,196.0,20707.0
Skidmore College,0.8257,197.0,69363.0
Scripps College,0.8254,198.0,77539.0
Gettysburg College,0.8253,199.0,71517.0
United States Merchant Marine Academy,0.8238,200.0,90610.0
Kenyon College,0.8234,201.0,71830.0
Muhlenberg College,0.8223,202.0,69107.0
CBD College,0.8214,203.0,37237.0
Connecticut College,0.8205,204.0,75001.0
Auburn University,0.8195,205.0,65337.0
Fordham University,0.8191,206.0,85569.0
Chapman University,0.8188,207.0,70070.0
Arizona College of Nursing-Las Vegas,0.8182,208.0,34657.0
Bryn Mawr College,0.8179,209.0,75217.0
Susquehanna University,0.8174,210.0,61723.0
Colorado School of Mines,0.8171,211.0,97335.0
Binghamton University,0.8162,212.0,80596.0
Sattler College,0.8125,213.0,
The Cooper Union for the Advancement of Science and Art,0.8111,214.0,83847.0
Brigham Young University,0.8098,215.0,75790.0
Oberlin College,0.8089,216.0,58343.0
Occidental College,0.8088,217.5,75951.0
Galen College of Nursing-San Antonio,0.8088,217.5,61480.0
Compu-Med Vocational Careers Corp,0.808,219.0,22226.0
Yeshivas Novominsk,0.8077,220.0,
Michigan State University,0.8072,221.0,67253.0
Fashion Institute of Technology,0.8068,222.0,62696.0
Centre College,0.8067,223.0,66240.0
Orion Technical College,0.8065,224.0,37008.0
Boricua College,0.806,225.0,35348.0
University of Delaware,0.8055,226.0,72950.0
Whitman College,0.8052,227.0,67589.0
Union College,0.8039,228.0,88604.0
Butler University,0.8038,229.0,77235.0
Indiana University-Bloomington,0.8021,230.0,63742.0
University of Dayton,0.8018,231.0,75537.0
Saint Anselm College,0.8003,232.0,73371.0
Southeastern Baptist College,0.8,236.0,26946.0
Yeshiva Kollel Tifereth Elizer,0.8,236.0,
Baptist University of the Americas,0.8,236.0,37709.0
Yeshiva Derech Chaim,0.8,236.0,
URBE University,0.8,236.0,
Manna University,0.8,236.0,
Design Institute of San Diego,0.8,236.0,46920.0
Baylor University,0.7999,240.0,65793.0
Hope College,0.7995,241.0,58427.0
University of Portland,0.7984,242.0,82804.0
University of Scranton,0.7979,244.0,74652.0
The University of the South,0.7979,244.0,64911.0
Miami University-Oxford,0.7979,244.0,55076.0
Dickinson College,0.7978,246.0,70204.0
Bryant University,0.7975,247.0,90008.0
James Madison University,0.7972,248.0,69954.0
Marist University,0.796,249.0,77819.0
Saint Louis University,0.7953,250.0,70783.0
The Catholic University of America,0.7947,251.0,73250.0
