name,rate,rnk,median_earn
Otis College of Art and Design,0.663,608.0,58152.0
Maryville University of Saint Louis,0.6622,609.0,62105.0
Central College,0.6619,610.0,54317.0
Nebraska Wesleyan University,0.6612,611.0,56405.0
St. John's University-New York,0.6609,612.0,69571.0
Dunwoody College of Technology,0.6606,613.0,61511.0
Northwestern College,0.6605,614.0,49802.0
Saint Mary's University of Minnesota,0.6601,615.0,58170.0
Union University,0.6596,616.0,53990.0
Eckerd College,0.6592,617.0,51819.0
Coe College,0.659,618.0,57125.0
College of Charleston,0.6583,619.0,56416.0
Saint Joseph's College of Maine,0.6574,620.0,59045.0
Robert Morris University,0.6569,621.0,62105.0
Anderson University,0.6568,622.0,42101.0
Slippery Rock University of Pennsylvania,0.6557,623.0,53032.0
Waynesburg University,0.6554,624.0,58537.0
Oakland City University,0.6552,625.5,43283.0
Mercy College of Health Sciences,0.6552,625.5,62234.0
Mount Saint Mary College,0.6546,627.0,67705.0
Ohio University-Main Campus,0.6545,628.0,52581.0
Mount St. Mary's University,0.6539,629.0,64072.0
Washington College,0.6537,630.0,65518.0
Aquinas College,0.6536,631.0,49584.0
Liberty University,0.6533,632.0,44813.0
University of Washington-Bothell Campus,0.6532,633.0,78466.0
Champlain College,0.6523,634.0,58386.0
Houghton University,0.6522,635.0,46721.0
Wagner College,0.6514,636.0,74360.0
Kettering College,0.6512,637.0,67492.0
University of Utah,0.6505,638.5,67170.0
University of Connecticut-Hartford Campus,0.6505,638.5,73997.0
Evangel University,0.6503,640.0,46573.0
Goshen College,0.65,641.0,51943.0
Asbury University,0.6498,642.0,42368.0
Lebanon Valley College,0.6496,643.0,62621.0
Concordia University-Nebraska,0.6489,644.0,52415.0
Oklahoma City University,0.6488,645.0,54655.0
University of Massachusetts-Lowell,0.6482,646.0,64874.0
Bob Jones University,0.6475,647.0,44354.0
University of Minnesota-Duluth,0.6472,648.0,62616.0
Elmira College,0.6471,649.0,57550.0
Montclair State University,0.6466,650.5,61415.0
West Virginia University,0.6466,650.5,55939.0
Hollins University,0.6465,652.0,40075.0
Western Washington University,0.6464,653.0,62569.0
Monmouth College,0.6461,654.0,51110.0
University of Houston,0.6456,655.0,62377.0
Westminster College,0.6455,656.0,53861.0
Illinois State University,0.6454,657.0,62117.0
University of Evansville,0.6446,658.0,53770.0
Colorado Christian University,0.6441,659.0,50416.0
Webster University,0.6439,660.5,50876.0
SUNY Maritime College,0.6439,660.5,95951.0
Trine University,0.6438,662.0,57165.0
Missouri University of Science and Technology,0.6437,663.5,82957.0
Universal Technology College of Puerto Rico,0.6437,663.5,19878.0
Bellarmine University,0.6436,665.5,62069.0
Platt College-Anaheim,0.6436,665.5,40669.0
Wartburg College,0.643,667.0,56201.0
University of Alabama in Huntsville,0.6429,669.0,61767.0
Kentucky Mountain Bible College,0.6429,669.0,21256.0
University of Hawaii at Manoa,0.6429,669.0,57624.0
Carthage College,0.6426,671.0,56950.0
University of Alabama at Birmingham,0.6423,672.0,54501.0
York College of Pennsylvania,0.641,673.0,61012.0
North Central College,0.64,674.0,60123.0
Western New England University,0.6398,675.0,73157.0
North Dakota State University-Main Campus,0.6389,676.0,62203.0
Gurnick Academy of Medical Arts,0.6388,677.0,66844.0
John Paul the Great Catholic University,0.6386,678.0,56930.0
Illinois College,0.6382,679.5,52575.0
Louisiana Tech University,0.6382,679.5,52279.0
Westminster University,0.6381,681.5,66215.0
University of Wisconsin-Eau Claire,0.6381,681.5,58561.0
University of Saint Joseph,0.6376,683.0,59908.0
Rutgers University-Newark,0.6375,684.0,74479.0
Bowling Green State University-Main Campus,0.6373,685.0,47896.0
Kent State University at Kent,0.6372,686.0,45388.0
Manhattan University,0.6371,687.0,86316.0
The University of Tampa,0.637,688.0,59436.0
College of the Ozarks,0.6369,689.0,41592.0
Ozark Christian College,0.6364,690.0,41297.0
Georgia College & State University,0.6361,691.0,58140.0
Huntington University,0.636,692.5,46672.0
Concorde Career College-Aurora,0.636,692.5,42456.0
Maranatha Baptist University,0.6357,694.5,45593.0
Wisconsin Lutheran College,0.6357,694.5,54664.0
Florida Institute of Technology,0.6354,696.5,43137.0
Spring Arbor University,0.6354,696.5,51732.0
Platt College-Los Angeles,0.6345,698.0,40669.0
Milligan University,0.6343,699.0,46641.0
Kehilath Yakov Rabbinical Seminary,0.6341,700.0,36442.0
Nova Southeastern University,0.6334,701.0,59209.0
Galen College of Nursing-Tampa Bay,0.6333,702.5,61480.0
Simpson College,0.6333,702.5,59274.0
Northwood University,0.6332,704.0,63075.0
Ripon College,0.633,705.0,54902.0
McDaniel College,0.6329,706.0,60663.0
University of Washington-Tacoma Campus,0.6324,707.0,78466.0
Virginia Commonwealth University,0.6318,708.0,58128.0
Wilkes University,0.6317,709.0,63454.0
University of La Verne,0.6312,710.0,65464.0
University of New Haven,0.6307,711.0,60126.0
Chatham University,0.6306,712.0,52410.0
Bellin College,0.6304,713.0,76222.0
Culinary Institute of America,0.6292,714.0,47475.0
University of Sioux Falls,0.6291,715.0,54521.0
Alma College,0.6287,716.0,54742.0
California State University-Chico,0.6278,717.0,64172.0
SUNY at Purchase College,0.6277,718.0,45092.0
Neumont College of Computer Science,0.627,719.0,97827.0
East Carolina University,0.6262,720.0,55146.0
Nichols College,0.6261,721.0,58063.0
Glendale Career College,0.626,722.0,41472.0
Saint Edward's University,0.6259,723.5,58826.0
Lee University,0.6259,723.5,43222.0
Florida Atlantic University,0.6257,725.0,56746.0
The College of Idaho,0.6254,726.0,48473.0
Pacific College,0.625,729.5,70064.0
ATA College-Cincinnati,0.625,729.5,34577.0
University of Minnesota-Morris,0.625,729.5,50919.0
Yeshiva Ohr Naftoli,0.625,729.5,
Thomas More College of Liberal Arts,0.625,729.5,53565.0
Talmudic College of Florida,0.625,729.5,
Southern Illinois University-Carbondale,0.6241,733.0,53390.0
South Dakota State University,0.6235,734.0,55070.0
Ball State University,0.6234,735.0,51833.0
Moody Bible Institute,0.6233,736.0,45399.0
Blackfeet Community College,0.623,737.0,22953.0
Stetson University,0.6229,738.0,51642.0
Westcliff University,0.622,739.0,
Hampden-Sydney College,0.6217,740.0,67640.0
Stanbridge University,0.6209,741.0,62144.0
Dewey University-Carolina,0.6207,742.5,19761.0
American College of the Building Arts,0.6207,742.5,
Massachusetts College of Pharmacy and Health Sciences,0.6202,744.0,125557.0
Seattle Pacific University,0.6195,745.0,64506.0
Newschool of Architecture and Design,0.619,746.0,68891.0
California Baptist University,0.6188,747.0,61504.0
Cornerstone University,0.6187,748.0,47314.0
Cornell College,0.6182,749.0,53460.0
Drury University,0.618,750.0,40694.0
Azusa Pacific University,0.6179,751.0,66677.0
Buena Vista University,0.6169,752.0,49156.0
University of Health Sciences and Pharmacy in St. Louis,0.6168,753.0,137047.0
University of Connecticut-Avery Point,0.6162,754.5,73997.0
University of Illinois Chicago,0.6162,754.5,68740.0
Albion College,0.6159,756.0,58799.0
Benedictine College,0.6158,757.0,53175.0
Converse University,0.6154,759.5,40867.0
Center for Advanced Legal Studies,0.6154,759.5,56561.0
Yeshiva of Ocean,0.6154,759.5,
Humphreys University,0.6154,759.5,39248.0
Galen College of Nursing-Louisville,0.6146,762.0,61480.0
University at Albany,0.6145,763.5,67979.0
Worcester State University,0.6145,763.5,60624.0
Ouachita Baptist University,0.614,765.0,51673.0
Marietta College,0.6138,766.0,57180.0
Everglades University,0.6136,767.0,47597.0
Rider University,0.6133,768.0,62208.0
Northern Arizona University,0.6132,769.5,54384.0
Murray State University,0.6132,769.5,44737.0
Queens University of Charlotte,0.6131,771.0,57673.0
St Catherine University,0.6125,772.0,59282.0
University of Nevada-Reno,0.6124,773.0,60614.0
University of Louisville,0.6123,774.5,53899.0
Longwood University,0.6123,774.5,52347.0
California College of the Arts,0.6122,776.0,49414.0
Concordia College at Moorhead,0.6107,777.0,59317.0
Saint Ambrose University,0.6103,778.0,59531.0
Regis University,0.6102,779.0,72105.0
Keiser University-Ft Lauderdale,0.6101,780.0,39696.0
Geneva College,0.6098,781.0,50004.0
Campbell University,0.6096,782.0,54886.0
DigiPen Institute of Technology,0.6095,783.0,79878.0
Holy Family University,0.6091,784.0,62235.0
Suffolk University,0.6088,785.0,67506.0
Yeshiva Gedolah of Woodlake Village,0.6087,786.0,
Olivet Nazarene University,0.6084,787.0,53213.0
University of North Texas,0.6071,788.0,57010.0
Southern Utah University,0.6067,789.0,50296.0
Ashland University,0.6063,790.0,52928.0
Hesston College,0.6061,791.0,47495.0
Corban University,0.6059,792.0,48917.0
Lawrence Technological University,0.6058,793.0,69151.0
College of Saint Mary,0.605,794.5,54338.0
Washington State University,0.605,794.5,68905.0
University of North Dakota,0.6048,796.0,63552.0
Hamline University,0.6045,797.0,61106.0
Cedar Crest College,0.6039,798.0,59460.0
Martinsburg College,0.6038,799.0,
State University of New York at Oswego,0.6036,800.0,57566.0
Aurora University,0.6032,801.0,58709.0
Franklin College,0.603,802.0,55376.0
Capital University,0.6027,803.0,54143.0
Western Carolina University,0.6026,804.0,49458.0
Edgewood University,0.6024,805.0,59728.0
Beacon College,0.6023,806.0,29420.0
Norwich University,0.6021,807.0,65575.0
Boise State University,0.602,808.0,51658.0
Mercyhurst University,0.6017,809.0,47452.0
Miller-Motte College-Chattanooga,0.601,810.0,31102.0
Keene State College,0.6006,811.0,54368.0
Pace University,0.6003,812.0,70378.0
United International College,0.6,816.5,
Madonna University,0.6,816.5,59058.0
Talmudical Academy-New Jersey,0.6,816.5,40344.0
Mid-South Christian College,0.6,816.5,
Indian Bible College,0.6,816.5,
American Institute of Alternative Medicine,0.6,816.5,40805.0
Woodbury University,0.6,816.5,65668.0
West Coast University-Anaheim-Orange County,0.6,816.5,102672.0
Whittier College,0.5996,821.0,59492.0
Carlow University,0.5992,822.0,51051.0
University of South Dakota,0.5991,823.0,51926.0
Walla Walla University,0.599,824.0,61885.0
King's College,0.5989,825.0,59498.0
Judson University,0.5987,826.0,56313.0
William Carey University,0.5978,827.0,43087.0
La Sierra University,0.5973,828.0,61824.0
Cal Poly Maritime Academy,0.5972,829.0,94784.0
Cairn University-Langhorne,0.5968,830.0,44172.0
Lycoming College,0.5963,831.0,56210.0
New England Institute of Technology,0.5954,832.0,48684.0
West Liberty University,0.5953,833.0,43296.0
Nebraska Methodist College of Nursing & Allied Health,0.5952,834.0,65071.0
Morehouse College,0.5944,835.0,52889.0
Southwest University at El Paso,0.5942,836.0,29648.0
St Louis College of Health Careers-Fenton,0.5938,837.0,32217.0
Husson University,0.5935,838.0,45025.0
Mississippi Christian University,0.5934,839.0,47485.0
North Florida College,0.5922,840.0,33929.0
Utah State University,0.5913,841.0,54022.0
California State University-Monterey Bay,0.5909,842.0,59247.0
Loyola University New Orleans,0.5903,843.0,52927.0
Abilene Christian University,0.5901,844.0,55736.0
Dewey University-Manati,0.5897,845.0,19761.0
St. Mary's University,0.5893,846.0,56955.0
University of Wisconsin-Whitewater,0.589,847.0,55356.0
Daemen University,0.5888,848.0,61808.0
University of Wyoming,0.5884,849.0,56880.0
University of West Florida,0.588,850.0,49137.0
Be'er Yaakov Talmudic Seminary,0.5878,851.0,17360.0
New York Institute of Technology,0.5877,852.0,70080.0
Central Michigan University,0.5872,853.0,55874.0
University of Mount Union,0.5865,854.0,53217.0
Lasell University,0.5864,855.0,49705.0
LeTourneau University,0.5858,856.0,57103.0
Ohio Wesleyan University,0.5857,857.0,55624.0
Point Park University,0.5854,858.0,45856.0
State University of New York at Plattsburgh,0.5851,859.0,56403.0
Walsh University,0.585,860.0,59764.0
Wayne State University,0.5844,861.0,53493.0
Manhattanville University,0.5842,862.0,58832.0
Keuka College,0.5836,863.0,58289.0
Concordia University-Irvine,0.5831,864.0,65083.0
Pacific Union College,0.5828,865.0,70484.0
Saint Peter's University,0.5826,866.0,57815.0
Montana Technological University,0.5824,867.0,54329.0
Berea College,0.5822,868.0,43150.0
Goodwin University,0.5821,869.0,43596.0
Platt College-Ontario,0.582,870.0,40669.0
Maine Maritime Academy,0.5818,871.0,89964.0
United Talmudical Seminary,0.5813,872.0,25113.0
Southeastern Baptist Theological Seminary,0.5806,873.5,
San Ignacio University,0.5806,873.5,
Lesley University,0.5802,875.0,51173.0
University of Michigan-Dearborn,0.5798,876.0,59649.0
Kansas City Art Institute,0.5797,877.0,37032.0
Southeast Missouri State University,0.5793,878.0,44030.0
Missouri State University-Springfield,0.5791,879.0,49827.0
Bais Medrash Mayan Hatorah,0.5789,880.0,
The University of Findlay,0.5786,881.0,56996.0
Baker University,0.5779,882.0,63855.0
Mount Mercy University,0.5774,883.5,60787.0
University of Nebraska at Kearney,0.5774,883.5,50105.0
North Park University,0.5772,885.0,59572.0
Cleveland Institute of Art,0.5771,886.0,42509.0
Bet Medrash Gadol Ateret Torah,0.5769,887.5,
Northwest College of Art & Design,0.5769,887.5,31167.0
Tennessee Technological University,0.5767,889.0,48501.0
Walnut Hill College,0.5763,890.5,36689.0
Millersville University of Pennsylvania,0.5763,890.5,55246.0
Sonoma State University,0.5759,892.0,65986.0
Pennsylvania Academy of the Fine Arts,0.5758,893.0,29881.0
Western Michigan University,0.5757,894.0,53562.0
Oakland University,0.5756,895.0,58612.0
Eastern Connecticut State University,0.5752,896.5,56469.0
Trinity Christian College,0.5752,896.5,55700.0
Platt College-Riverside,0.575,898.0,40669.0
Blackburn College,0.5749,899.5,46802.0
Caldwell University,0.5749,899.5,53843.0
Colby-Sawyer College,0.5745,901.0,46474.0
Goldey-Beacom College,0.5743,902.5,59892.0
Salem College,0.5743,902.5,44640.0
Florida Gulf Coast University,0.574,904.5,54560.0
University of Minnesota-Rochester,0.574,904.5,69020.0
Alcorn State University,0.5736,906.5,36421.0
University of Lynchburg,0.5736,906.5,56380.0
Goucher College,0.5734,908.0,53023.0
Minnesota State University Moorhead,0.5732,909.0,50527.0
University of Idaho,0.5728,910.0,54670.0
La Roche University,0.5721,911.0,52341.0
North Carolina A & T State University,0.5718,912.0,44440.0
American Public University System,0.5716,913.5,44409.0
Hampton University,0.5716,913.5,59159.0
Moore College of Art and Design,0.5714,918.5,37839.0
Rosemont College,0.5714,918.5,48555.0
Yeshiva Ohr Yisrael,0.5714,918.5,
West Virginia Wesleyan College,0.5714,918.5,51593.0
Galen College of Nursing-Cincinnati,0.5714,918.5,61480.0
Seattle Film Institute,0.5714,918.5,
Doane University,0.5714,918.5,53316.0
Millsaps College,0.5714,918.5,53848.0
La Salle University,0.5712,923.0,67416.0
Montana State University,0.5708,924.0,53263.0
Long Island University,0.5707,925.0,59950.0
New Mexico Institute of Mining and Technology,0.5705,926.0,76489.0
University of Toledo,0.5704,927.0,50632.0
Dallas Baptist University,0.5701,928.0,56807.0
University of Wisconsin-River Falls,0.57,929.0,54458.0
Alfred University,0.5698,930.5,54897.0
Winthrop University,0.5698,930.5,47185.0
Southern Illinois University Edwardsville,0.5697,932.0,56346.0
California State University-Fresno,0.5696,933.0,61244.0
California State University-Northridge,0.5695,934.0,59115.0
Winona State University,0.5694,935.0,58532.0
Regent University,0.5692,936.0,44498.0
Mount Aloysius College,0.5691,937.0,46165.0
Hood College,0.569,938.0,57089.0
Gwynedd Mercy University,0.5688,939.0,67145.0
CUNY Hunter College,0.5686,940.0,63163.0
University of Mobile,0.5685,941.0,43611.0
Oral Roberts University,0.5683,942.5,46885.0
University of Mount Saint Vincent,0.5683,942.5,65756.0
CUNY City College,0.5682,944.5,66039.0
Atlantis University,0.5682,944.5,
Vanguard University of Southern California,0.5677,946.5,59541.0
Johnson University,0.5677,946.5,40596.0
Rasmussen University-Wisconsin,0.5667,948.0,39080.0
University of Missouri-St Louis,0.5664,949.0,53037.0
Saint Xavier University,0.5661,950.0,58656.0
Davenport University,0.5659,951.5,45099.0
Pittsburg State University,0.5659,951.5,50579.0
Monroe University,0.5655,953.0,41236.0
University of Connecticut-Stamford,0.5654,954.0,73997.0
Foothill College,0.5637,955.5,57072.0
Muskingum University,0.5637,955.5,48440.0
Bethany Global University,0.5634,957.5,
Emory & Henry University,0.5634,957.5,47385.0
Mount St. Joseph University,0.5633,959.0,51509.0
University of North Carolina at Greensboro,0.5631,960.5,48160.0
Hilbert College,0.5631,960.5,48309.0
California State University-Sacramento,0.5629,962.0,64876.0
Cottey College,0.5625,963.0,35422.0
Utica University,0.5624,964.0,63277.0
Centenary College of Louisiana,0.5621,965.0,50330.0
Brazosport College,0.562,966.0,45910.0
Clarke University,0.5612,967.0,55396.0
Russell Sage College,0.561,969.0,58316.0
Emporia State University,0.561,969.0,47601.0
California Institute of Arts & Technology,0.561,969.0,
Charter College,0.5606,971.0,35504.0
Centenary University,0.5605,972.0,53726.0
Iona University,0.56,973.5,73595.0
Bushnell University,0.56,973.5,53623.0
Flagler College,0.5598,975.5,49483.0
William Jessup University,0.5598,975.5,56257.0
Delaware Valley University,0.5591,977.0,55838.0
CUNY John Jay College of Criminal Justice,0.5583,978.0,56195.0
University of Indianapolis,0.5582,979.5,53610.0
University of Pittsburgh-Johnstown,0.5582,979.5,66125.0
Mercy College of Ohio,0.5581,981.0,65409.0
University of Wisconsin-Platteville,0.5576,982.0,61760.0
The Christ College of Nursing and Health Sciences,0.5571,983.0,68303.0
Shippensburg University of Pennsylvania,0.557,984.0,56351.0
Massachusetts College of Liberal Arts,0.5564,985.0,48102.0
Columbus College of Art & Design,0.556,986.0,40664.0
Oregon State University-Cascades Campus,0.5556,988.5,64010.0
Western Kentucky University,0.5556,988.5,43889.0
Pacific College of Health and Science,0.5556,988.5,26209.0
Prescott College,0.5556,988.5,42359.0
Alvernia University,0.5553,991.0,55055.0
Indiana University of Pennsylvania,0.5551,992.5,51019.0
Oklahoma Christian University,0.5551,992.5,49203.0
Westminster College,0.5549,994.0,52199.0
Brigham Young University-Idaho,0.5548,995.0,53406.0
University of Missouri-Kansas City,0.5546,996.0,59637.0
Johnson & Wales University-Providence,0.5541,997.0,43418.0
Chaminade University of Honolulu,0.554,998.5,52343.0
Arkansas State University,0.554,998.5,42617.0
Gardner-Webb University,0.5539,1000.0,48039.0
Palm Beach Atlantic University,0.5534,1001.0,49232.0
Five Towns College,0.5532,1002.5,35887.0
Southwest Baptist University,0.5532,1002.5,43112.0
Texas State University,0.5528,1004.0,56906.0
Dominican University,0.5526,1005.0,60327.0
New Mexico State University-Main Campus,0.5517,1006.0,39067.0
SUNY Brockport,0.5513,1007.0,54496.0
Fitchburg State University,0.5512,1008.0,53874.0
SUNY Polytechnic Institute,0.5508,1009.0,64355.0
SUNY College of Technology at Alfred,0.5506,1010.0,50445.0
West Texas A & M University,0.5504,1011.0,50741.0
Tuskegee University,0.5498,1012.0,49641.0
University of Saint Francis-Fort Wayne,0.5497,1013.0,55362.0
Millikin University,0.5494,1014.5,51262.0
University of Maine,0.5494,1014.5,48653.0
St. John's College,0.5493,1016.0,44985.0
Florida Polytechnic University,0.5492,1017.0,
University of North Alabama,0.5491,1018.0,45415.0
Georgia Southern University,0.549,1019.5,53236.0
California State University-San Bernardino,0.549,1019.5,59977.0
University of Wisconsin-Stout,0.5486,1021.5,58084.0
Bethany Lutheran College,0.5486,1021.5,46110.0
Blue Mountain Christian University,0.5476,1023.5,40421.0
Sam Houston State University,0.5476,1023.5,54211.0
Jacksonville State University,0.5472,1025.0,45235.0
Christian Brothers University,0.5471,1026.0,57478.0
University of New Mexico-Main Campus,0.5469,1027.0,44792.0
St. Francis College,0.5464,1028.0,58099.0
California State University-San Marcos,0.5456,1029.0,62908.0
North Greenville University,0.5453,1030.0,43035.0
Hiram College,0.5451,1031.0,54311.0
Trinidad State College,0.545,1032.0,36475.0
University of North Carolina Asheville,0.5448,1033.5,44030.0
Commonwealth University of Pennsylvania,0.5448,1033.5,52416.0
Indiana University-Indianapolis,0.5445,1035.0,55198.0
Westfield State University,0.5441,1036.0,57346.0
University of Hartford,0.5438,1037.0,60823.0
Northpoint Bible College,0.5435,1038.5,42210.0
NUC University,0.5435,1038.5,24785.0
Hampshire College,0.5426,1040.0,46938.0
Northwest Missouri State University,0.5423,1041.0,47885.0
University of Louisiana at Monroe,0.542,1042.0,46769.0
Wade College,0.5417,1043.5,36657.0
Joyce University of Nursing and Health Sciences,0.5417,1043.5,49841.0
The University of Texas at Tyler,0.5413,1045.0,57053.0
University of Montevallo,0.541,1046.5,42957.0
Oglethorpe University,0.541,1046.5,55232.0
University of Central Missouri,0.5408,1048.0,49560.0
St. Thomas Aquinas College,0.5404,1049.5,62909.0
Florida College,0.5404,1049.5,43445.0
University of Northwestern Ohio,0.5402,1051.5,50968.0
The University of Texas at Arlington,0.5402,1051.5,63199.0
Eastern University,0.54,1053.0,51655.0
Grand View University,0.5399,1054.0,52824.0
Pontifical Catholic University of Puerto Rico-Arecibo,0.5395,1055.5,24908.0
Minnesota State University-Mankato,0.5395,1055.5,56922.0
Ave Maria University,0.5394,1057.0,49520.0
Florida Gateway College,0.5391,1058.0,37894.0
CUNY Brooklyn College,0.5386,1059.0,60752.0
Texas Lutheran University,0.5385,1060.5,53863.0
Mount Carmel College of Nursing,0.5385,1060.5,75103.0
Kutztown University of Pennsylvania,0.5382,1062.0,53775.0
Nicholls State University,0.538,1063.0,45454.0
Anderson University,0.5379,1064.0,48899.0
Oregon Institute of Technology,0.5378,1065.0,72273.0
Brescia University,0.5371,1066.0,45500.0
Dewey University-Hato Rey,0.537,1067.5,19761.0
Middle Tennessee State University,0.537,1067.5,48541.0
Thomas College,0.5369,1069.0,44991.0
Neumann University,0.5368,1070.5,57817.0
Heritage University,0.5368,1070.5,49416.0
MidAmerica Nazarene University,0.5361,1072.5,62972.0
Central Washington University,0.5361,1072.5,61580.0
Dean College,0.5359,1074.0,38109.0
Georgian Court University,0.5357,1075.0,53096.0
University of Central Arkansas,0.5353,1076.0,45938.0
Marymount University,0.5351,1077.5,67516.0
Franklin Pierce University,0.5351,1077.5,53353.0
Menlo College,0.535,1079.0,76419.0
Rasmussen University-Minnesota,0.5349,1080.0,39080.0
Pennsylvania College of Technology,0.5348,1081.0,52567.0
Montserrat College of Art,0.5347,1082.0,33022.0
California State University-Stanislaus,0.5345,1083.0,63188.0
Santa Fe College,0.5343,1084.0,41631.0
Welch College,0.5342,1085.0,42198.0
Bridgewater State University,0.5341,1086.0,57466.0
Florida Agricultural and Mechanical University,0.5335,1087.0,44349.0
Stephen F Austin State University,0.5333,1090.0,49634.0
Aultman College of Nursing and Health Sciences,0.5333,1090.0,63582.0
Valley City State University,0.5333,1090.0,52725.0
Yeshivath Shaar Hatorah,0.5333,1090.0,
McKendree University,0.5333,1090.0,58572.0
Hartwick College,0.5332,1093.5,61107.0
Fairleigh Dickinson University-Metropolitan Campus,0.5332,1093.5,57273.0
Mount Saint Mary's University,0.5325,1095.5,72379.0
CUNY Queens College,0.5325,1095.5,62763.0
Carson-Newman University,0.5324,1097.0,48382.0
Bethel University,0.5322,1098.0,48860.0
University of Illinois Springfield,0.5321,1099.5,57103.0
East Tennessee State University,0.5321,1099.5,44859.0
Trevecca Nazarene University,0.5315,1101.0,49378.0
Ranken Technical College,0.5313,1102.5,55955.0
Chipola College,0.5313,1102.5,37378.0
Georgia State University,0.5306,1104.0,47384.0
Bridgewater College,0.5305,1105.0,53453.0
California State University-Los Angeles,0.5298,1106.0,59211.0
Washburn University,0.5296,1107.0,49774.0
South Dakota School of Mines and Technology,0.5295,1108.0,72257.0
Bluffton University,0.5294,1109.0,49547.0
Brookline College-Phoenix,0.5288,1110.0,29576.0
Concorde Career College-Kansas City,0.5286,1111.0,35242.0
Musicians Institute,0.5281,1112.5,32778.0
Newman University,0.5281,1112.5,55041.0
Farmingdale State College,0.5278,1114.5,69781.0
American Medical Academy,0.5278,1114.5,
University of Connecticut-Waterbury Campus,0.5273,1116.0,73997.0
Wittenberg University,0.5269,1117.0,54947.0
University of South Alabama,0.5267,1118.0,49379.0
Portland State University,0.5266,1119.0,57906.0
Brigham Young University-Hawaii,0.5264,1120.5,52064.0
The University of Texas at San Antonio,0.5264,1120.5,57131.0
Beis Medrash Heichal Dovid,0.5263,1123.0,
Rabbinical College Telshe,0.5263,1123.0,
University of Louisiana at Lafayette,0.5263,1123.0,47089.0
The University of Tennessee-Martin,0.5254,1125.0,44213.0
Dominican University New York,0.5251,1126.0,61171.0
Avila University,0.5238,1127.5,52773.0
Mount Marty University,0.5238,1127.5,48179.0
Oklahoma Baptist University,0.5237,1129.0,48434.0
Southern Wesleyan University,0.5236,1130.0,47756.0
Southwestern Adventist University,0.5234,1131.0,52946.0
Union Adventist University,0.5226,1132.0,55045.0
Northern Kentucky University,0.5224,1133.0,50220.0
York University,0.5221,1134.0,44130.0
Kennesaw State University,0.522,1135.0,57552.0
Morehead State University,0.5219,1136.0,43197.0
Calvary University,0.5217,1137.0,45421.0
Wayne State College,0.5215,1138.0,47075.0
Northern Michigan University,0.5214,1139.0,47107.0
Spring Hill College,0.521,1140.0,51500.0
Eastern Florida State College,0.5208,1141.0,37195.0
Universidad del Sagrado Corazon,0.5207,1142.5,31754.0
University of Massachusetts-Dartmouth,0.5207,1142.5,68804.0
Lynn University,0.5206,1144.0,49006.0
Plymouth State University,0.5203,1145.0,57304.0
University of Puerto Rico-Arecibo,0.52,1146.0,30512.0
Heidelberg University,0.5198,1147.0,48466.0
Saint Martin's University,0.519,1148.0,62092.0
Pennsylvania Western University,0.5188,1149.0,47295.0
University of Akron Main Campus,0.5186,1150.0,46600.0
Baptist University of Florida,0.5185,1151.0,42836.0
Sweet Briar College,0.5182,1152.0,51943.0
University of Mount Olive,0.5178,1153.0,47139.0
Western Connecticut State University,0.5176,1154.0,59115.0
New Hope Christian College-Eugene,0.5172,1155.5,31115.0
Laguna College of Art and Design,0.5172,1155.5,47867.0
Spalding University,0.5167,1158.0,49438.0
Rivier University,0.5167,1158.0,52248.0
Augsburg University,0.5167,1158.0,58829.0
University of Houston-Clear Lake,0.5163,1160.0,59004.0
Claflin University,0.516,1161.0,40304.0
University of Maine at Presque Isle,0.5155,1163.0,40956.0
Maine College of Art & Design,0.5155,1163.0,40778.0
Columbia College Chicago,0.5155,1163.0,42195.0
University of Maine at Farmington,0.5154,1165.0,44433.0
Alpena Community College,0.515,1166.0,36442.0
Albertus Magnus College,0.5148,1167.5,60144.0
University of the Ozarks,0.5148,1167.5,44384.0
Presbyterian College,0.5146,1169.0,60194.0
Spartan College of Aeronautics and Technology,0.5139,1170.0,49944.0
Lubbock Christian University,0.5136,1171.0,53787.0
Provo College,0.5135,1172.0,39645.0
California State University-Channel Islands,0.5132,1173.0,62152.0
Dakota State University,0.513,1174.0,50970.0
CUNY Lehman College,0.5128,1175.0,58013.0
The University of Montana-Western,0.5125,1176.0,43229.0
University of Northern Colorado,0.5124,1177.0,52231.0
Marshall University,0.5123,1178.5,46354.0
Central Methodist University-College of Liberal Arts and Sciences,0.5123,1178.5,48991.0
Minneapolis College of Art and Design,0.5116,1180.0,40873.0
Curry College,0.5112,1181.0,54400.0
Saint Elizabeth University,0.511,1182.0,53038.0
Grace Christian University,0.5104,1183.0,41663.0
Shepherd University,0.5103,1184.5,49358.0
Wichita State University,0.5103,1184.5,51532.0
Lake Superior State University,0.5098,1186.5,49045.0
University of the Incarnate Word,0.5098,1186.5,56733.0
Central Penn College,0.5091,1188.5,45370.0
Jackson State University,0.5091,1188.5,39060.0
The University of Texas Rio Grande Valley,0.509,1190.0,49620.0
University of Memphis,0.5089,1191.0,48458.0
LIM College,0.5087,1192.0,58956.0
University of Wisconsin-Stevens Point,0.5078,1193.0,52021.0
Carrington College-Sacramento,0.5077,1194.0,39633.0
Albright College,0.507,1195.0,58700.0
Jacksonville University,0.5065,1196.0,68010.0
Dickinson State University,0.506,1197.0,50720.0
Cleveland State University,0.5057,1198.0,52131.0
Paul Smiths College of Arts and Science,0.5055,1199.0,46145.0
