name,median_earn,rnk
William Paterson University of New Jersey,57780,656
Navajo Technical University,26364,2044
Eastern New Mexico University-Main Campus,38550,1755
Institute of American Indian and Alaska Native Culture and Arts Development,24505,2067
New Mexico Highlands University,45937,1336
New Mexico Institute of Mining and Technology,76489,163
University of New Mexico-Main Campus,44792,1410
New Mexico State University-Main Campus,39067,1734
Northern New Mexico College,38112,1783
University of the Southwest,45389,1370
Western New Mexico University,39095,1727
Vaughn College of Aeronautics and Technology,64973,357
Adelphi University,75482,178
Bryant & Stratton College-Albany,32568,1958
Albany College of Pharmacy and Health Sciences,131426,4
Alfred University,54897,813
American Musical and Dramatic Academy,26975,2037
Associated Beth Rivkah Schools,17686,2104
Bard College,46543,1295
Barnard College,80516,126
Berkeley College-New York,45884,1340
Mount Sinai Phillips School of Nursing,96980,39
Boricua College,35348,1892
Bryant & Stratton College-Syracuse North,32568,1958
Bryant & Stratton College-Buffalo,32568,1958
Bryant & Stratton College-Greece,32568,1958
Canisius University,60681,519
Central Yeshiva Tomchei Tmimim Lubavitz,35023,1899
Clarkson University,89696,75
Colgate University,85139,91
Metropolitan College of New York,46236,1311
Columbia University in the City of New York,102491,28
The Cooper Union for the Advancement of Science and Art,83847,101
Cornell University,104043,19
Culinary Institute of America,47475,1243
CUNY Bernard M Baruch College,75971,171
CUNY Brooklyn College,60752,518
College of Staten Island CUNY,53501,894
CUNY City College,66039,336
CUNY Hunter College,63163,429
CUNY John Jay College of Criminal Justice,56195,736
CUNY Lehman College,58013,647
CUNY Medgar Evers College,46498,1299
CUNY New York City College of Technology,49365,1123
CUNY Queens College,62763,442
CUNY York College,56945,696
D'Youville  University,66942,318
Daemen University,61808,480
Dominican University New York,61171,508
Elmira College,57550,666
Fashion Institute of Technology,62696,444
Five Towns College,35887,1874
Fordham University,85569,90
Hamilton College,78411,144
Hartwick College,61107,509
Hilbert College,48309,1188
Hobart William Smith Colleges,68831,278
Hofstra University,69039,272
Houghton University,46721,1280
Iona University,73595,207
Ithaca College,63548,394
Jewish Theological Seminary of America,92751,47
The Juilliard School,37827,1798
Kehilath Yakov Rabbinical Seminary,36442,1857
Keuka College,58289,632
LIM College,58956,597
Le Moyne College,62731,443
Long Island University,59950,553
Machzikei Hadath Rabbinical College,41527,1594
Manhattan University,86316,88
Manhattan School of Music,26878,2039
Manhattanville University,58832,600
Maria College of Albany,55458,778
Marist University,77819,150
Marymount Manhattan College,49131,1137
Mercy University,52055,977
Mirrer Yeshiva Cent Institute,41192,1608
Molloy University,77789,151
Monroe University,41236,1604
Mount Saint Mary College,67705,300
University of Mount Saint Vincent,65756,341
Nazareth University,56458,717
The New School,52901,928
New York University,82509,117
Niagara University,56196,735
New York Institute of Technology,70080,255
New York School of Interior Design,48041,1201
Pace University,70378,251
Paul Smiths College of Arts and Science,46145,1314
Plaza College,31519,1983
Davis College,38450,1760
Pratt Institute-Main,54295,847
Rabbinical College Bobover Yeshiva Bnei Zion,20707,2095
Rensselaer Polytechnic Institute,102051,29
Roberts Wesleyan University,55031,803
Rochester Institute of Technology,76571,162
University of Rochester,79042,135
Russell Sage College,58316,629
St Bonaventure University,57214,679
St. Francis College,58099,641
St Lawrence University,67258,311
St. Thomas Aquinas College,62909,437
Sarah Lawrence College,53603,889
Siena University,76079,170
Skidmore College,69363,269
St. Joseph's University-New York,63905,384
St. John Fisher University,66944,317
St. John's University-New York,69571,266
SUNY College of Technology at Alfred,50445,1059
SUNY College of Technology at Canton,47860,1217
SUNY College of Technology at Delhi,51629,1010
SUNY College of Agriculture and Technology at Cobleskill,45030,1398
Farmingdale State College,69781,262
SUNY Morrisville,43295,1492
University at Albany,67979,296
Binghamton University,80596,125
University at Buffalo,70814,246
Stony Brook University,74502,192
SUNY College of Environmental Science and Forestry,55763,759
SUNY Polytechnic Institute,64355,372
SUNY Brockport,54496,833
SUNY Buffalo State University,52334,958
State University of New York at Cortland,60236,539
SUNY at Fredonia,54247,851
SUNY College at Geneseo,67316,310
State University of New York at New Paltz,58073,643
SUNY Oneonta,60386,533
State University of New York at Oswego,57566,663
SUNY College at Potsdam,47866,1215
SUNY at Purchase College,45092,1393
SUNY Old Westbury,58526,616
State University of New York at Plattsburgh,56403,720
Empire State University,54080,859
SUNY Maritime College,95951,40
Syracuse University,79164,134
Talmudical Seminary Oholei Torah,39230,1723
Touro University,53419,900
Trocaire College,55318,785
Union College,88604,80
United Talmudical Seminary,25113,2055
United States Merchant Marine Academy,90610,69
Utica University,63277,423
Vassar College,71366,239
Villa Maria College,38857,1745
School of Visual Arts,46459,1303
Wagner College,74360,196
The College of Westchester,42215,1553
Yeshiva of Nitra Rabbinical College,41785,1581
Yeshiva University,71353,240
Appalachian State University,51836,990
Barton College,47913,1206
Belmont Abbey College,47937,1205
Bennett College,36654,1847
Brevard College,43545,1468
Cabarrus College of Health Sciences,58708,606
Campbell University,54886,814
Catawba College,48793,1156
Chowan University,38412,1762
Davidson College,81400,120
Duke University,97800,36
East Carolina University,55146,793
Elizabeth City State University,40026,1688
Elon University,74545,191
Fayetteville State University,40144,1668
Gardner-Webb University,48039,1203
Greensboro College,46566,1294
Guilford College,47590,1232
High Point University,61389,498
Johnson C Smith University,42680,1526
Lees-McRae College,43415,1482
Lenoir-Rhyne University,45543,1357
Livingstone College,32600,1957
Mars Hill University,44781,1412
Meredith College,51539,1016
Methodist University,48050,1200
Montreat College,45151,1390
University of Mount Olive,47139,1259
North Carolina A & T State University,44440,1428
University of North Carolina Asheville,44030,1456
University of North Carolina at Chapel Hill,72200,222
University of North Carolina at Charlotte,57289,674
University of North Carolina at Greensboro,48160,1193
North Carolina Central University,42968,1514
University of North Carolina School of the Arts,38357,1766
North Carolina State University at Raleigh,68758,280
North Carolina Wesleyan University,45873,1341
University of North Carolina Wilmington,54967,806
William Peace University,46643,1287
University of North Carolina at Pembroke,43407,1484
Pfeiffer University,51562,1014
Queens University of Charlotte,57673,659
Mid-Atlantic Christian University,38342,1767
Saint Augustine's University,35730,1876
Salem College,44640,1417
Shaw University,34409,1928
Wake Forest University,78158,149
Warren Wilson College,36260,1862
Wingate University,52649,938
Carolina Christian College,40672,1639
Winston-Salem State University,45344,1383
Western Carolina University,49458,1117
Rasmussen University-North Dakota,39080,1729
Bismarck State College,54277,848
Dickinson State University,50720,1048
University of Jamestown,56621,713
University of Mary,60909,514
Mayville State University,47828,1219
Minot State University,51759,995
University of North Dakota,63552,393
North Dakota State University-Main Campus,62203,460
Sitting Bull College,28488,2026
Trinity Bible College and Graduate School,35604,1882
Turtle Mountain College,32079,1970
United Tribes Technical College,25292,2053
Valley City State University,52725,937
Herzing University-Akron,36909,1831
University of Akron Main Campus,46600,1290
University of Akron Wayne College,46600,1290
Allegheny Wesleyan College,37453,1811
Art Academy of Cincinnati,34368,1931
Ashland University,52928,926
Aultman College of Nursing and Health Sciences,63582,392
Baldwin Wallace University,54122,857
Bluffton University,49547,1111
Bowling Green State University-Firelands,47896,1209
Bowling Green State University-Main Campus,47896,1209
Bryant & Stratton College-Parma,32568,1958
Capital University,54143,855
Case Western Reserve University,87989,81
Cedarville University,55443,779
Central Ohio Technical College,39168,1725
Central State University,33267,1943
The Christ College of Nursing and Health Sciences,68303,289
University of Cincinnati-Main Campus,54810,817
Cincinnati State Technical and Community College,40137,1669
University of Cincinnati-Clermont College,54810,817
University of Cincinnati-Blue Ash College,54810,817
Ohio Christian University,39813,1696
Clark State College,39584,1706
Cleveland Institute of Art,42509,1536
Cleveland Institute of Music,32641,1955
Cleveland State University,52131,969
Columbus College of Art & Design,40664,1644
Columbus State Community College,39435,1713
Davis College,31588,1981
University of Dayton,75537,176
Defiance College,49351,1126
Denison University,67753,298
Edison State Community College,41360,1600
The University of Findlay,56996,693
Franklin University,51892,986
Gods Bible School and College,37722,1801
Good Samaritan College of Nursing and Health Science,66111,333
Heidelberg University,48466,1175
Hiram College,54311,846
John Carroll University,62860,439
Kent State University at Ashtabula,45388,1371
Kent State University at East Liverpool,45388,1371
Kent State University at Stark,45388,1371
Kent State University at Trumbull,45388,1371
Kent State University at Tuscarawas,45388,1371
Kent State University at Salem,45388,1371
Kent State University at Kent,45388,1371
Kent State University at Geauga,45388,1371
Kenyon College,71830,230
Kettering College,67492,308
Lake Erie College,50417,1061
James A. Rhodes State College,41855,1579
Lorain County Community College,38837,1746
Lourdes University,48150,1194
Malone University,48909,1150
Marietta College,57180,680
Marion Technical College,41495,1595
Mercy College of Ohio,65409,350
Miami University-Hamilton,55076,794
Miami University-Middletown,55076,794
Miami University-Oxford,55076,794
Mount Carmel College of Nursing,75103,183
University of Mount Union,53217,912
Mount Vernon Nazarene University,49555,1110
Mount St. Joseph University,51509,1020
Zane State College,35006,1901
Muskingum University,48440,1177
North Central State College,38158,1780
University of Northwestern Ohio,50968,1041
Oberlin College,58343,626
Ohio Dominican University,51748,996
Ohio Northern University,80928,122
Ohio State University-Lima Campus,60409,528
Ohio State University-Mansfield Campus,60409,528
Ohio State University-Marion Campus,60409,528
Ohio State University-Newark Campus,60409,528
Ohio State University-Main Campus,60409,528
Ohio University-Eastern Campus,52581,939
Ohio University-Chillicothe Campus,52581,939
Ohio University-Southern Campus,52581,939
Ohio University-Lancaster Campus,52581,939
Ohio University-Main Campus,52581,939
Ohio University-Zanesville Campus,52581,939
Ohio Wesleyan University,55624,766
Otterbein University,53313,906
Professional Skills Institute,47765,1221
University of Rio Grande,41478,1596
The Modern College of Design,42187,1560
Shawnee State University,39596,1705
Sinclair Community College,37558,1805
Franciscan University of Steubenville,50030,1079
Tiffin University,35942,1872
University of Toledo,50632,1054
Tri-State Bible College,31675,1977
Ursuline College,56878,705
Walsh University,59764,560
Washington State College of Ohio,37988,1791
Wilberforce University,38298,1770
Wilmington College,48491,1171
Wittenberg University,54947,808
The College of Wooster,59629,565
Wright State University-Main Campus,49500,1114
Wright State University-Lake Campus,49500,1114
Xavier University,64873,363
Youngstown State University,41544,1591
Oklahoma Wesleyan University,59841,558
Southern Nazarene University,54951,807
Cameron University,40118,1670
University of Central Oklahoma,48351,1185
East Central University,44962,1403
Randall University,42051,1566
Langston University,33261,1944
Murray State College,36545,1852
Spartan College of Aeronautics and Technology,49944,1084
Northeastern State University,45379,1379
Northwestern Oklahoma State University,44358,1436
Oklahoma Christian University,49203,1132
Oklahoma Panhandle State University,44933,1406
Oklahoma State University-Main Campus,57413,671
Oklahoma State University-Oklahoma City,41307,1602
Oklahoma Baptist University,48434,1178
Oklahoma City University,54655,828
University of Oklahoma-Norman Campus,63126,430
Oklahoma State University Institute of Technology,45634,1351
Oral Roberts University,46885,1270
Rogers State University,43166,1503
Rose State College,37555,1806
University of Science and Arts of Oklahoma,41913,1576
Southeastern Oklahoma State University,45079,1394
Southwestern Christian University,40391,1657
Southwestern Oklahoma State University,45744,1349
University of Tulsa,61408,497
Chemeketa Community College,40968,1620
Sumner College,46639,1289
Eastern Oregon University,50112,1075
New Hope Christian College-Eugene,31115,1989
George Fox University,59761,561
Lane Community College,38075,1786
Lewis & Clark College,62205,459
Linfield University,78638,139
Mount Angel Seminary,57436,670
Mt Hood Community College,41125,1612
Bushnell University,53623,887
Oregon Institute of Technology,72273,220
Oregon State University,64010,380
University of Oregon,61324,500
Pacific Northwest College of Art,34883,1906
Pacific University,60583,525
Portland State University,57906,651
University of Portland,82804,110
Reed College,62927,436
Southern Oregon University,49175,1134
Warner Pacific University,55204,790
Corban University,48917,1149
Willamette University,56911,700
Western Oregon University,51815,993
Bryn Athyn College of the New Church,40457,1655
Albright College,58700,607
Allegheny College,62069,472
DeSales University,61295,503
Alvernia University,55055,798
Arcadia University,58336,627
Bryn Mawr College,75217,181
Bucknell University,93807,44
Carlow University,51051,1035
Carnegie Mellon University,114862,11
Cedar Crest College,59460,573
Central Penn College,45370,1381
Chatham University,52410,952
Chestnut Hill College,52015,979
Cheyney University of Pennsylvania,37837,1797
Delaware Valley University,55838,753
Dickinson College,70204,253
Drexel University,84648,96
Duquesne University,74742,188
East Stroudsburg University of Pennsylvania,56148,737
Eastern University,51655,1007
Elizabethtown College,62399,453
Franklin and Marshall College,76124,169
Gannon University,58845,599
Geneva College,50004,1080
Gettysburg College,71517,236
Gwynedd Mercy University,67145,314
Haverford College,79966,130
Holy Family University,62235,456
Immaculata University,75701,174
Indiana University of Pennsylvania,51019,1036
Juniata College,56918,699
Keystone College,44976,1402
King's College,59498,570
Kutztown University of Pennsylvania,53775,879
La Roche University,52341,957
La Salle University,67416,309
Lackawanna College,41000,1619
Lafayette College,91410,65
Lancaster Bible College,44096,1453
Lebanon Valley College,62621,447
Lehigh University,105584,17
Lincoln University,43167,1502
Lycoming College,56210,733
Manor College,46825,1274
Marywood University,55817,755
Mercyhurst University,47452,1244
Messiah University,54064,860
Millersville University of Pennsylvania,55246,787
Misericordia University,64313,373
Moore College of Art and Design,37839,1796
Moravian University,61860,477
Mount Aloysius College,46165,1312
Muhlenberg College,69107,271
Neumann University,57817,653
Pennsylvania Institute of Technology,35703,1879
Pennsylvania State University-Penn State Erie-Behrend College,63435,400
Pennsylvania State University-Penn State New Kensington,63435,400
Pennsylvania State University-Penn State Shenango,63435,400
Pennsylvania State University-Penn State Wilkes-Barre,63435,400
Pennsylvania State University-Penn State Scranton,63435,400
Pennsylvania State University-Penn State Lehigh Valley,63435,400
Pennsylvania State University-Penn State Altoona,63435,400
Pennsylvania State University-Penn State Beaver,63435,400
Pennsylvania State University-Penn State Berks,63435,400
Pennsylvania State University-Penn State Harrisburg,63435,400
Pennsylvania State University-Penn State Brandywine,63435,400
Pennsylvania State University-Penn State DuBois,63435,400
Pennsylvania State University-Penn State Fayette- Eberly,63435,400
Pennsylvania State University-Penn State Hazleton,63435,400
Pennsylvania State University-Main Campus,63435,400
Pennsylvania State University-Penn State Greater Allegheny,63435,400
Pennsylvania State University-Penn State Mont Alto,63435,400
Pennsylvania State University-Penn State Abington,63435,400
Pennsylvania State University-Penn State Schuylkill,63435,400
Pennsylvania State University-Penn State York,63435,400
Peirce College,50660,1053
Pennsylvania Academy of the Fine Arts,29881,2009
Pennsylvania College of Art and Design,33301,1941
University of Pennsylvania,111371,13
Cairn University-Langhorne,44172,1448
University of Pittsburgh-Bradford,66125,329
University of Pittsburgh-Greensburg,66125,329
University of Pittsburgh-Johnstown,66125,329
University of Pittsburgh-Pittsburgh Campus,66125,329
Point Park University,45856,1343
Walnut Hill College,36689,1844
Robert Morris University,62105,467
Rosemont College,48555,1168
Saint Francis University,62101,469
Saint Joseph's University - Philadelphia,86881,84
Saint Vincent College,59982,550
University of Scranton,74652,189
Seton Hill University,51748,996
Shippensburg University of Pennsylvania,56351,722
Slippery Rock University of Pennsylvania,53032,923
Saint Charles Borromeo Seminary-Overbrook,55225,789
Susquehanna University,61723,484
Swarthmore College,80257,128
Temple University,63727,390
Thiel College,49714,1096
Thomas Jefferson University,77449,156
Ursinus College,73721,206
University of Valley Forge,39016,1736
Villanova University,100423,33
Washington & Jefferson College,67918,297
Waynesburg University,58537,614
West Chester University of Pennsylvania,61258,505
Westminster College,53861,872
Widener University,70920,243
Wilkes University,63454,398
Wilson College,43326,1487
York College of Pennsylvania,61012,512
Brown University,93487,46
Bryant University,90008,71
Johnson & Wales University-Providence,43418,1479
New England Institute of Technology,48684,1163
Providence College,87054,83
Rhode Island College,56318,725
University of Rhode Island,69743,263
Rhode Island School of Design,68140,292
Roger Williams University,70266,252
Salve Regina University,72975,213
Northpoint Bible College,42210,1554
Allen University,30497,2002
Anderson University,42101,1562
Charleston Southern University,45898,1339
Benedict College,31902,1973
Bob Jones University,44354,1437
Southern Wesleyan University,47756,1222
College of Charleston,56416,718
Citadel Military College of South Carolina,72085,225
Claflin University,40304,1661
Clemson University,71513,237
Clinton College,30180,2003
Coker University,40117,1671
Columbia International University,38951,1740
Columbia College,41338,1601
Converse University,40867,1627
Erskine College,53459,898
Francis Marion University,43888,1460
Furman University,68635,285
Greenville Technical College,39473,1711
Lander University,42396,1544
Morris College,30614,1998
Newberry College,48040,1202
North Greenville University,43035,1513
Presbyterian College,60194,540
University of South Carolina Aiken,45603,1354
University of South Carolina Beaufort,48088,1197
University of South Carolina-Columbia,62177,462
Coastal Carolina University,47258,1253
South Carolina State University,38262,1773
University of South Carolina-Upstate,48587,1167
Spartanburg Methodist College,42895,1518
Voorhees University,35339,1893
Winthrop University,47185,1256
Wofford College,68964,275
Augustana University,59217,586
Black Hills State University,46674,1283
Dakota State University,50970,1040
Dakota Wesleyan University,53728,883
Mount Marty University,48179,1192
National American University-Rapid City,37325,1816
Northern State University,47618,1227
Oglala Lakota College,22517,2084
South Dakota School of Mines and Technology,72257,221
South Dakota State University,55070,797
Sinte Gleska University,20948,2093
University of Sioux Falls,54521,831
Sisseton Wahpeton College,31546,1982
University of South Dakota,51926,985
American Baptist College,41216,1605
Austin Peay State University,44301,1440
Baptist Health Sciences University,72529,216
Belmont University,55930,750
Bethel University,47482,1241
Bryan College-Dayton,54434,837
Carson-Newman University,48382,1181
Christian Brothers University,57478,668
Cumberland University,57687,658
Lipscomb University,55541,773
East Tennessee State University,44859,1408
Chattanooga College Medical Dental and & Technical Careers,25954,2049
Fisk University,45454,1361
Welch College,42198,1556
Freed-Hardeman University,47485,1239
Johnson University,40596,1650
King University,59831,559
South College,36642,1848
Lane College,31670,1978
Le Moyne-Owen College,35594,1883
Lee University,43222,1495
Lincoln Memorial University,49956,1083
The University of Tennessee Southern,38924,1742
Maryville College,49279,1130
University of Memphis,48458,1176
Middle Tennessee State University,48541,1169
Rhodes College,66651,322
The University of the South,64911,358
Southern Adventist University,53723,885
Tennessee Wesleyan University,45989,1322
The University of Tennessee-Chattanooga,51151,1031
The University of Tennessee-Knoxville,60249,537
The University of Tennessee-Martin,44213,1447
Tennessee State University,42730,1522
Tennessee Technological University,48501,1170
Trevecca Nazarene University,49378,1122
Tusculum University,44367,1435
Union University,53990,865
Vanderbilt University,91565,64
Abilene Christian University,55736,761
Alvin Community College,45762,1348
Angelo State University,50116,1074
Arlington Baptist University,44644,1415
Austin College,61296,502
Austin Community College District,43177,1500
Baylor University,65793,340
Brazosport College,45910,1337
Concordia University Texas,60883,515
Texas A & M University-Corpus Christi,51865,988
Dallas Baptist University,56807,708
Dallas Christian College,43503,1473
University of Dallas,58285,634
Del Mar College,38656,1752
East Texas Baptist University,52788,933
Texas A&M University-Texarkana,45515,1359
East Texas A&M University,50296,1070
Dallas College,41714,1585
Western Technical College,36156,1863
Western Technical College,36156,1863
Galveston College,37233,1820
Grayson College,40873,1624
Hallmark University,40183,1666
Hardin-Simmons University,54771,821
Trinity Valley Community College,38567,1754
Houston Christian University,55933,749
University of Houston-Clear Lake,59004,596
Houston City College,39254,1721
University of Houston-Downtown,53551,893
Texas A&M University-Victoria,54467,835
University of Houston,62377,455
Howard Payne University,48376,1182
Huston-Tillotson University,42937,1517
University of the Incarnate Word,56733,711
Jarvis Christian University,32992,1950
Lamar University,49652,1101
Laredo College,33934,1935
Texas A & M International University,48386,1180
LeTourneau University,57103,687
Lubbock Christian University,53787,878
College of the Mainland,39639,1702
University of Mary Hardin-Baylor,56132,738
McMurry University,48779,1157
Midland College,43958,1458
Midwestern State University,55747,760
Wade College,36657,1846
Navarro College,38716,1748
Lone Star College System,42466,1540
University of North Texas,57010,692
Odessa College,42026,1567
Our Lady of the Lake University,48675,1164
The University of Texas Rio Grande Valley,49620,1104
Paul Quinn College,29288,2019
Prairie View A & M University,45411,1367
Rice University,89718,74
Saint Edward's University,58826,602
St Philip's College,38224,1774
University of St Thomas,59224,584
Sam Houston State University,54211,852
San Antonio College,39711,1698
San Jacinto Community College,43062,1512
Schreiner University,52228,964
St. Mary's University,56955,694
Southern Methodist University,78354,145
Nelson University,46238,1310
Southwestern University,56878,705
Stephen F Austin State University,49634,1103
Texas State University,56906,701
Southwestern Adventist University,52946,925
Southwestern Christian College,32672,1954
Sul Ross State University,41871,1578
Tarleton State University,53040,920
Texas A&M University-Kingsville,51450,1023
Texas A&M University-College Station,72097,224
The University of Texas at Arlington,63199,426
The University of Texas at Austin,75121,182
The University of Texas at Dallas,68227,291
The University of Texas at El Paso,50923,1042
The University of Texas at Tyler,57053,691
Texas Christian University,68424,287
Texas College,33752,1938
Texas Lutheran University,53863,871
The University of Texas Permian Basin,56073,742
The University of Texas at San Antonio,57131,684
Texas Southern University,38924,1742
Texas Tech University,62454,452
Texas Wesleyan University,54053,862
Texas Woman's University,56544,715
Trinity University,71668,231
Tyler Junior College,38140,1782
Wayland Baptist University,51838,989
Weatherford College,42397,1543
West Texas A & M University,50741,1047
Wiley University,33159,1946
Brigham Young University,75790,173
Brigham Young University-Hawaii,52064,976
Utah Tech University,44570,1420
Eagle Gate College-Murray,37518,1807
Ensign College,50630,1055
Snow College,41022,1617
Southern Utah University,50296,1070
Utah State University,54022,863
Utah Valley University,55486,777
University of Utah,67170,313
Weber State University,56287,729
Westminster University,66215,328
Bennington College,38289,1771
Champlain College,58386,622
Middlebury College,76310,166
Norwich University,65575,346
Saint Michael's College,61317,501
Sterling College,30573,1999
Vermont State University,50331,1066
University of Vermont,62472,451
Averett University,51516,1018
Bluefield University,48896,1152
Bridgewater College,53453,899
William & Mary,73490,208
Regent University,44498,1425
Christopher Newport University,60509,527
Bryant & Stratton College-Virginia Beach,32568,1958
Emory & Henry University,47385,1246
Eastern Mennonite University,54869,815
Ferrum College,44296,1441
George Mason University,76343,165
Hampden-Sydney College,67640,302
Hampton University,59159,589
Hollins University,40075,1687
James Madison University,69954,259
Liberty University,44813,1409
Longwood University,52347,955
University of Lynchburg,56380,721
Centra College,60122,544
Mary Baldwin University,44427,1430
University of Mary Washington,60613,524
Marymount University,67516,306
American National University,26370,2043
Norfolk State University,44666,1414
Old Dominion University,54914,809
Radford University,53739,882
Randolph-Macon College,58448,618
Randolph College,53409,901
University of Richmond,76178,168
Riverside College of Health Sciences,66072,335
Roanoke College,58047,646
Shenandoah University,58433,619
Southern Virginia University,50002,1081
Strayer University-Virginia,40092,1672
Sweet Briar College,51943,983
University of Virginia's College at Wise,45325,1384
Virginia Polytechnic Institute and State University,81698,119
Virginia Commonwealth University,58128,640
University of Virginia-Main Campus,86863,86
Virginia Military Institute,77369,158
Virginia University of Lynchburg,28396,2029
Virginia State University,45543,1357
Virginia Union University,38275,1772
Virginia Wesleyan University,50074,1077
Washington and Lee University,94810,42
Bellevue College,56310,727
Bellingham Technical College,49748,1094
Big Bend Community College,43814,1463
Central Washington University,61580,486
Centralia College,43140,1505
Clark College,42356,1550
Clover Park Technical College,41787,1580
Columbia Basin College,46680,1282
Eastern Washington University,57897,652
Edmonds College,48144,1195
Everett Community College,45434,1363
The Evergreen State College,45320,1385
Pierce College District,47532,1236
Gonzaga University,78892,137
Grays Harbor College,40865,1628
Green River College,50712,1050
Heritage University,49416,1119
Highline College,47869,1213
Bates Technical College,50051,1078
Lake Washington Institute of Technology,50669,1052
Lower Columbia College,40691,1637
North Seattle College,47728,1224
Northwest University,54914,809
Olympic College,43169,1501
Pacific Lutheran University,66990,316
Peninsula College,37078,1826
University of Puget Sound,69594,265
Renton Technical College,49782,1091
Saint Martin's University,62092,470
South Seattle College,44486,1426
Seattle Central College,43307,1489
Seattle Pacific University,64506,368
Seattle University,75272,180
Shoreline College,52009,980
Skagit Valley College,43505,1472
South Puget Sound Community College,45039,1396
Spokane Community College,41984,1573
Spokane Falls Community College,38955,1739
Tacoma Community College,47168,1257
Walla Walla Community College,43526,1470
Walla Walla University,61885,476
Washington State University,68905,276
University of Washington-Seattle Campus,78466,140
Wenatchee Valley College,41127,1611
Western Washington University,62569,449
Whatcom Community College,44092,1454
Whitman College,67589,303
Whitworth University,58561,612
Yakima Valley College,43499,1474
Appalachian Bible College,37467,1810
Bethany College,44512,1422
Bluefield State University,38217,1776
University of Charleston,55774,758
Concord University,42703,1525
Davis & Elkins College,43411,1483
Fairmont State University,46857,1271
Glenville State University,39315,1716
Marshall University,46354,1306
West Virginia University at Parkersburg,35171,1897
Potomac State College of West Virginia University,55939,746
Salem University,34642,1913
Shepherd University,49358,1125
West Virginia State University,40492,1654
West Liberty University,43296,1491
West Virginia University Institute of Technology,55939,746
West Virginia Wesleyan College,51593,1012
West Virginia Junior College-Morgantown,31912,1972
West Virginia University,55939,746
Wheeling University,57949,650
Alverno College,53145,917
Madison Area Technical College,45413,1366
Bellin College,76222,167
Beloit College,53260,909
Carroll University,58009,648
Carthage College,56950,695
Concordia University-Wisconsin,56075,740
Edgewood University,59728,562
Lakeland University,55961,744
Lawrence University,55789,757
Maranatha Baptist University,45593,1355
Marian University,53501,894
Marquette University,78257,147
Milwaukee Institute of Art & Design,41174,1609
Milwaukee School of Engineering,89070,77
Mount Mary University,48745,1159
Ripon College,54902,812
Saint Norbert College,58363,624
Viterbo University,55660,764
University of Wisconsin-Whitewater,55356,784
University of Wisconsin-Eau Claire,58561,612
University of Wisconsin-Green Bay,52528,948
University of Wisconsin-La Crosse,60378,534
Wisconsin Lutheran College,54664,826
University of Wisconsin-Oshkosh,55548,772
University of Wisconsin-Parkside,51129,1032
Herzing University-Madison,36909,1831
University of Wisconsin-Stout,58084,642
University of Wisconsin-Superior,49606,1105
University of Wisconsin-Madison,73792,204
University of Wisconsin-Milwaukee,54990,805
University of Wisconsin-Platteville,61760,483
University of Wisconsin-River Falls,54458,836
University of Wisconsin-Stevens Point,52021,978
Central Wyoming College,34402,1930
Laramie County Community College,44783,1411
Northwest College,36950,1830
Western Wyoming Community College,40939,1622
University of Wyoming,56880,704
American Samoa Community College,30087,2004
Guam Community College,27820,2035
University of Guam,35946,1871
Northern Marianas College,27836,2034
Universidad Adventista de las Antillas,28465,2027
Atlantic University,25272,2054
Universidad Central de Bayamon,25021,2056
Albizu University-San Juan,41544,1591
Caribbean University-Bayamon,22842,2080
Caribbean University-Carolina,22842,2080
Pontifical Catholic University of Puerto Rico-Arecibo,24908,2057
Pontifical Catholic University of Puerto Rico-Ponce,24908,2057
CEM College-San Juan,21033,2091
Universidad Teologica del Caribe,23536,2072
Colegio Universitario de San Juan,26510,2041
Universidad Ana G. Mendez-Cupey Campus,24490,2068
Puerto Rico Conservatory of Music,19474,2103
EDP University of Puerto Rico Inc-San Sebastian,22844,2077
Escuela de Artes Plasticas y Diseno de Puerto Rico,21790,2087
Huertas College,22927,2076
Humacao Community College,20064,2097
Inter American University of Puerto Rico-San German,25416,2052
Inter American University of Puerto Rico-Aguadilla,24776,2062
Inter American University of Puerto Rico-Arecibo,24539,2066
Inter American University of Puerto Rico-Barranquitas,23204,2073
Inter American University of Puerto Rico-Metro,30821,1995
Inter American University of Puerto Rico-Ponce,26721,2040
Inter American University of Puerto Rico-Fajardo,23132,2074
Inter American University of Puerto Rico-Guayama,25827,2051
Inter American University of Puerto Rico-Bayamon,29936,2008
NUC University,24785,2061
University of Puerto Rico-Aguadilla,27997,2032
University of Puerto Rico-Arecibo,30512,2001
University of Puerto Rico,34409,1928
University of Puerto Rico-Carolina,30626,1997
University of Puerto Rico at Cayey,30958,1993
University of Puerto Rico-Humacao,29521,2016
University of Puerto Rico-Utuado,23906,2071
University of Puerto Rico-Mayaguez,48992,1144
University of Puerto Rico at Ponce,31394,1986
University of Puerto Rico-Rio Piedras,35723,1877
Universidad Ana G. Mendez-Carolina Campus,24328,2069
Universidad del Sagrado Corazon,31754,1976
Universidad Central Del Caribe,31468,1984
Universidad Politecnica de Puerto Rico,47540,1233
Pontifical Catholic University of Puerto Rico-Mayaguez,24908,2057
Universidad Ana G. Mendez-Gurabo Campus,26223,2045
College of Micronesia-FSM,24651,2063
University of the Virgin Islands,38681,1750
Stanford University,124080,8
Purdue University-Main Campus,72424,217
Parker University,42091,1564
EDP University of Puerto Rico Inc-San Juan,22844,2077
St. John's College,44985,1401
