name,median_earn,rnk
Morgan Community College,39429,1714
Naropa University,28720,2025
University of Northern Colorado,52231,963
Pikes Peak State College,40796,1632
Pueblo Community College,37434,1813
Red Rocks Community College,46288,1308
Regis University,72105,223
Rocky Mountain College of Art and Design,42958,1515
Montessori Education Center of the Rockies,44643,1416
Colorado State University Pueblo,55563,768
Trinidad State College,36475,1855
Western Colorado University,46833,1272
Albertus Magnus College,60144,541
University of Bridgeport,50323,1068
Central Connecticut State University,58562,611
Charter Oak State College,64209,376
Connecticut College,75001,185
University of Connecticut,73997,197
Goodwin University,43596,1465
Eastern Connecticut State University,56469,716
Fairfield University,88794,78
University of Hartford,60823,516
Mitchell College,39115,1726
University of New Haven,60126,542
Post University,38696,1749
Quinnipiac University,83759,102
Sacred Heart University,75059,184
University of Saint Joseph,59908,554
Southern Connecticut State University,55043,800
Trinity College,90779,67
Wesleyan University,73897,203
Western Connecticut State University,59115,590
Yale University,100533,32
Delaware Technical Community College-Terry,41448,1599
Delaware State University,49307,1128
University of Delaware,72950,214
Goldey-Beacom College,59892,555
Wilmington University,53844,874
American University,77370,157
The Catholic University of America,73250,211
University of the District of Columbia,44236,1444
Gallaudet University,43101,1509
George Washington University,90873,66
Georgetown University,103494,21
Howard University,63066,432
Strayer University-District of Columbia,40092,1672
Trinity Washington University,53804,876
Baptist University of Florida,42836,1520
Barry University,55966,743
Bethune-Cookman University,38518,1757
Lynn University,49006,1143
Eastern Florida State College,37195,1821
Broward College,41939,1574
Albizu University-Miami,41544,1591
College of Central Florida,38203,1778
University of Central Florida,58308,630
Chipola College,37378,1814
Daytona State College,37096,1825
South University-West Palm Beach,34421,1919
Eckerd College,51819,992
Florida SouthWestern State College,43421,1478
Edward Waters University,34782,1908
Embry-Riddle Aeronautical University-Daytona Beach,84131,98
Florida Agricultural and Mechanical University,44349,1438
Florida Atlantic University,56746,710
Florida State College at Jacksonville,42244,1552
Flagler College,49483,1116
Florida College,43445,1477
AdventHealth University,72282,219
Florida Institute of Technology,43137,1506
Florida International University,60249,537
The College of the Florida Keys,42508,1537
Florida Memorial University,36624,1850
Florida Southern College,55294,786
Florida State University,61675,485
University of Florida,71588,233
Full Sail University,38219,1775
Gulf Coast State College,38359,1765
Hillsborough College,40782,1633
Hobe Sound Bible College,39863,1693
Indian River State College,38315,1769
Jacksonville University,68010,294
Keiser University-Ft Lauderdale,39696,1699
Florida Gateway College,37894,1793
Lake-Sumter State College,39876,1692
State College of Florida-Manatee-Sarasota,40318,1660
Miami Dade College,40654,1645
University of Miami,75328,179
North Florida College,33929,1936
University of North Florida,56343,724
Nova Southeastern University,59209,588
Northwest Florida State College,39664,1700
Palm Beach Atlantic University,49232,1131
Palm Beach State College,41923,1575
Pasco-Hernando State College,39903,1690
Pensacola State College,36739,1843
Polk State College,40624,1649
Ringling College of Art and Design,43325,1488
Rollins College,58295,631
Saint Leo University,48364,1183
St Petersburg College,42557,1534
Santa Fe College,41631,1587
Seminole State College of Florida,41733,1583
Saint Johns River State College,41728,1584
South Florida State College,39990,1689
University of South Florida,57743,657
St. Thomas University,54272,849
Stetson University,51642,1008
Southeastern University,46744,1279
Tallahassee State College,37561,1804
The University of Tampa,59436,574
Trinity College of Jacksonville,37275,1818
Trinity College of Florida,32465,1966
Valencia College,40594,1651
Warner University,46086,1319
Webber International University,45606,1353
Rasmussen University-Florida,39080,1729
University of West Florida,49137,1136
Abraham Baldwin Agricultural College,34996,1902
Agnes Scott College,56274,731
Albany State University,40674,1638
Andrew College,38475,1759
Point University,38740,1747
Atlanta Metropolitan State College,33252,1945
Clark Atlanta University,42712,1524
Berry College,53800,877
Beulah Heights University,35236,1896
Brenau University,54003,864
Brewton-Parker Christian University,42009,1569
College of Coastal Georgia,39318,1715
Clayton  State University,49179,1133
Columbus State University,44544,1421
Covenant College,50412,1064
Dalton State College,40251,1664
South University-Savannah,34421,1919
East Georgia State College,37174,1823
Emmanuel University,38208,1777
Emory University,80137,129
Georgia Highlands College,43184,1499
Fort Valley State University,36666,1845
Georgia Institute of Technology-Main Campus,102772,23
Georgia Southwestern State University,48757,1158
Georgia College & State University,58140,639
Georgia Southern University,53236,910
Georgia State University,47384,1247
University of Georgia,68726,283
Gordon State College,37871,1794
LaGrange College,51745,998
Life University,47397,1245
Herzing University-Atlanta,36909,1831
Mercer University,58354,625
Morehouse College,52889,929
Oglethorpe University,55232,788
Paine College,33338,1940
Piedmont University,49130,1138
Reinhardt University,46541,1298
Savannah College of Art and Design,45954,1334
Savannah State University,37981,1792
Shorter University,44604,1418
Spelman College,59993,546
Thomas University,49716,1095
Toccoa Falls College,36630,1849
Truett McConnell University,46700,1281
Valdosta State University,49361,1124
Wesleyan College,44317,1439
University of West Georgia,49587,1107
Young Harris College,47195,1255
Chaminade University of Honolulu,52343,956
University of Hawaii at Hilo,47856,1218
University of Hawaii at Manoa,57624,660
Hawaii Pacific University,59593,566
University of Hawaii Maui College,34453,1918
University of Hawaii-West Oahu,52075,974
Boise Bible College,33140,1947
Boise State University,51658,1006
Idaho State University,45608,1352
University of Idaho,54670,825
The College of Idaho,48473,1173
Lewis-Clark State College,46001,1320
Northwest Nazarene University,51719,1002
Brigham Young University-Idaho,53406,902
College of Southern Idaho,40916,1623
School of the Art Institute of Chicago,40151,1667
Augustana College,62971,434
Aurora University,58709,605
Blackburn College,46802,1275
Bradley University,66852,319
Chicago State University,42778,1521
University of Chicago,91885,63
Columbia College Chicago,42195,1557
Concordia University-Chicago,54089,858
DePaul University,68751,281
East-West University,29963,2007
Eastern Illinois University,51989,981
Elmhurst University,61462,494
Eureka College,51641,1009
Governors State University,58169,637
Greenville University,46827,1273
Hebrew Theological College,33291,1942
University of Illinois Chicago,68740,282
Benedictine University,63446,399
University of Illinois Urbana-Champaign,81054,121
Illinois Wesleyan University,70871,244
Illinois College,52575,945
Illinois Institute of Technology,82592,114
Illinois State University,62117,466
Judson University,56313,726
Knox College,54820,816
Lake Forest College,61825,478
Lewis University,66099,334
Loyola University Chicago,71530,235
McKendree University,58572,610
Methodist College,69800,261
Millikin University,51262,1026
Monmouth College,51110,1033
Moody Bible Institute,45399,1369
National Louis University,45799,1346
North Central College,60123,543
North Park University,59572,567
Northern Illinois University,57808,655
Northwestern University,89363,76
Northeastern Illinois University,52234,962
Olivet Nazarene University,53213,913
Quincy University,50369,1065
Rockford University,54794,820
Roosevelt University,48712,1160
Dominican University,60327,536
University of St Francis,63926,383
Saint Xavier University,58656,608
University of Illinois Springfield,57103,687
Southern Illinois University-Carbondale,53390,903
Southern Illinois University Edwardsville,56346,723
Trinity Christian College,55700,763
Trinity International University-Illinois,46989,1266
VanderCook College of Music,47863,1216
Western Illinois University,54163,854
Wheaton College,63756,388
Anderson University,48899,1151
Ball State University,51833,991
Bethel University,48860,1154
Butler University,77235,159
Calumet College of Saint Joseph,46945,1267
DePauw University,70527,249
Earlham College,50797,1045
University of Evansville,53770,880
Franklin College,55376,782
Goshen College,51943,983
Grace College and Theological Seminary,45411,1367
Hanover College,53957,866
Holy Cross College,50416,1062
Huntington University,46672,1284
Purdue University Fort Wayne,45872,1342
Indiana University-Indianapolis,55198,791
University of Indianapolis,53610,888
Indiana Institute of Technology,47327,1249
University of Southern Indiana,47605,1228
Indiana State University,48387,1179
Indiana University-Kokomo,49917,1085
Indiana University-South Bend,44947,1405
Indiana University-Bloomington,63742,389
Indiana University-Northwest,43361,1486
Indiana University-Southeast,47596,1231
Indiana University-East,47156,1258
Manchester University,51504,1021
Marian University,58759,604
Indiana Wesleyan University-Marion,59986,548
Mid-America College of Funeral Service,44505,1424
University of Notre Dame,99980,34
Oakland City University,43283,1493
Rose-Hulman Institute of Technology,101253,31
